               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.02788,            0.060357,            0.004286,             0.51272,             0.59379,             0.43111,             0.30691,            0.033685,             0.09278,            0.031096,            0.001882,            0.001882,            0.001882
                  84,            0.027752,            0.059048,           0.0042817,             0.52203,             0.59648,             0.44229,             0.31473,            0.033813,            0.091967,              0.0301,            0.001783,            0.001783,            0.001783
                  85,            0.027964,            0.059958,           0.0043526,              0.5079,             0.60327,             0.43924,             0.31382,             0.03376,            0.093668,            0.031317,            0.001684,            0.001684,            0.001684
                  86,            0.027785,             0.05935,           0.0041205,             0.52352,             0.58918,             0.43902,             0.31314,            0.033952,            0.096182,            0.032509,            0.001585,            0.001585,            0.001585
                  87,            0.027548,            0.058147,           0.0040176,             0.51736,             0.58735,             0.43982,             0.31543,            0.033974,            0.096408,            0.031934,            0.001486,            0.001486,            0.001486
                  88,            0.027479,            0.059245,           0.0040432,             0.50639,             0.60031,             0.43605,             0.31314,            0.033766,            0.094775,            0.032817,            0.001387,            0.001387,            0.001387
                  89,             0.02777,            0.059204,           0.0038891,             0.50925,              0.6029,             0.44324,             0.31836,            0.033938,            0.095378,            0.032643,            0.001288,            0.001288,            0.001288
                  90,            0.027268,            0.057122,           0.0040364,             0.51667,             0.59859,             0.43495,             0.31274,            0.033873,            0.094893,            0.032968,            0.001189,            0.001189,            0.001189
                  91,            0.027691,            0.058919,           0.0039704,              0.5177,             0.60127,              0.4379,             0.31488,            0.033927,            0.095626,            0.033169,             0.00109,             0.00109,             0.00109
                  92,            0.027379,            0.058367,           0.0039734,             0.51922,             0.59058,             0.43896,              0.3168,             0.03401,            0.096468,             0.03322,            0.000991,            0.000991,            0.000991
                  93,            0.027435,            0.058761,           0.0038663,             0.51026,              0.5864,             0.43477,             0.31458,            0.033865,            0.096363,            0.033625,            0.000892,            0.000892,            0.000892
                  94,            0.027301,            0.058568,           0.0039369,             0.51028,             0.58935,             0.43233,             0.31238,            0.034198,            0.099796,            0.033865,            0.000793,            0.000793,            0.000793
                  95,            0.027371,            0.058639,           0.0038958,             0.50563,             0.60422,             0.43507,             0.31401,            0.034124,            0.097296,            0.033415,            0.000694,            0.000694,            0.000694
                  96,             0.02699,            0.059439,           0.0037642,             0.52047,             0.59429,             0.43432,             0.31403,            0.034033,            0.097623,            0.033765,            0.000595,            0.000595,            0.000595
                  97,             0.02714,            0.058184,           0.0037056,             0.51888,             0.59475,              0.4346,             0.31452,            0.033995,            0.096961,            0.034698,            0.000496,            0.000496,            0.000496
                  98,            0.027094,             0.05877,            0.003628,             0.51674,             0.59368,             0.43471,             0.31381,            0.034084,            0.097045,            0.034146,            0.000397,            0.000397,            0.000397
                  99,            0.027154,            0.058068,           0.0037729,             0.51419,              0.5997,             0.43486,             0.31429,            0.034025,            0.096409,            0.034035,            0.000298,            0.000298,            0.000298
